MEL code,Library code,bit sequence
0,0,1000000000001000
1,3,1000000000001110
2,5,1000000000011010
3,6,1000000000011100
4,9,1000000000101010
5,10,1000000000101100
6,12,1000000000111000
7,15,1000000000111110
8,17,1000000001001010
9,18,1000000001001100
10,20,1000000001011000
11,23,1000000001011110
12,24,1000000001101000
13,27,1000000001101110
14,29,1000000001111010
15,30,1000000001111100
16,33,1000000010001010
17,34,1000000010001100
18,36,1000000010011000
19,39,1000000010011110
20,40,1000000010101000
21,43,1000000010101110
22,45,1000000010111010
23,46,1000000010111100
24,48,1000000011001000
25,51,1000000011001110
26,53,1000000011011010
27,54,1000000011011100
28,57,1000000011101010
29,58,1000000011101100
30,60,1000000011111000
31,63,1000000011111110
32,65,1000000100001010
33,66,1000000100001100
34,68,1000000100011000
35,71,1000000100011110
36,72,1000000100101000
37,75,1000000100101110
38,77,1000000100111010
39,78,1000000100111100
40,80,1000000101001000
41,83,1000000101001110
42,85,1000000101011010
43,86,1000000101011100
44,89,1000000101101010
45,90,1000000101101100
46,92,1000000101111000
47,95,1000000101111110
48,96,1000000110001000
49,99,1000000110001110
50,101,1000000110011010
51,102,1000000110011100
52,105,1000000110101010
53,106,1000000110101100
54,108,1000000110111000
55,111,1000000110111110
56,113,1000000111001010
57,114,1000000111001100
58,116,1000000111011000
59,119,1000000111011110
60,120,1000000111101000
61,123,1000000111101110
62,125,1000000111111010
63,126,1000000111111100
64,129,1000001000001010
65,130,1000001000001100
66,132,1000001000011000
67,135,1000001000011110
68,136,1000001000101000
69,139,1000001000101110
70,141,1000001000111010
71,142,1000001000111100
72,144,1000001001001000
73,147,1000001001001110
74,149,1000001001011010
75,150,1000001001011100
76,153,1000001001101010
77,154,1000001001101100
78,156,1000001001111000
79,159,1000001001111110
80,160,1000001010001000
81,163,1000001010001110
82,165,1000001010011010
83,166,1000001010011100
84,169,1000001010101010
85,170,1000001010101100
86,172,1000001010111000
87,175,1000001010111110
88,177,1000001011001010
89,178,1000001011001100
90,180,1000001011011000
91,183,1000001011011110
92,184,1000001011101000
93,187,1000001011101110
94,189,1000001011111010
95,190,1000001011111100
96,192,1000001100001000
97,195,1000001100001110
98,197,1000001100011010
99,198,1000001100011100
100,201,1000001100101010
101,202,1000001100101100
102,204,1000001100111000
103,207,1000001100111110
104,209,1000001101001010
105,210,1000001101001100
106,212,1000001101011000
107,215,1000001101011110
108,216,1000001101101000
109,219,1000001101101110
110,221,1000001101111010
111,222,1000001101111100
112,225,1000001110001010
113,226,1000001110001100
114,228,1000001110011000
115,231,1000001110011110
116,232,1000001110101000
117,235,1000001110101110
118,237,1000001110111010
119,238,1000001110111100
120,240,1000001111001000
121,243,1000001111001110
122,245,1000001111011010
123,246,1000001111011100
124,249,1000001111101010
125,250,1000001111101100
126,252,1000001111111000
127,255,1000001111111110
128,257,1000010000001010
129,258,1000010000001100
130,260,1000010000011000
131,263,1000010000011110
132,264,1000010000101000
133,267,1000010000101110
134,269,1000010000111010
135,270,1000010000111100
136,272,1000010001001000
137,275,1000010001001110
138,277,1000010001011010
139,278,1000010001011100
140,281,1000010001101010
141,282,1000010001101100
142,284,1000010001111000
143,287,1000010001111110
144,288,1000010010001000
145,291,1000010010001110
146,293,1000010010011010
147,294,1000010010011100
148,297,1000010010101010
149,298,1000010010101100
150,300,1000010010111000
151,303,1000010010111110
152,305,1000010011001010
153,306,1000010011001100
154,308,1000010011011000
155,311,1000010011011110
156,312,1000010011101000
157,315,1000010011101110
158,317,1000010011111010
159,318,1000010011111100
160,320,1000010100001000
161,323,1000010100001110
162,325,1000010100011010
163,326,1000010100011100
164,329,1000010100101010
165,330,1000010100101100
166,332,1000010100111000
167,335,1000010100111110
168,337,1000010101001010
169,338,1000010101001100
170,340,1000010101011000
171,343,1000010101011110
172,344,1000010101101000
173,347,1000010101101110
174,349,1000010101111010
175,350,1000010101111100
176,353,1000010110001010
177,354,1000010110001100
178,356,1000010110011000
179,359,1000010110011110
180,360,1000010110101000
181,363,1000010110101110
182,365,1000010110111010
183,366,1000010110111100
184,368,1000010111001000
185,371,1000010111001110
186,373,1000010111011010
187,374,1000010111011100
188,377,1000010111101010
189,378,1000010111101100
190,380,1000010111111000
191,383,1000010111111110
192,384,1000011000001000
193,387,1000011000001110
194,389,1000011000011010
195,390,1000011000011100
196,393,1000011000101010
197,394,1000011000101100
198,396,1000011000111000
199,399,1000011000111110
200,401,1000011001001010
201,402,1000011001001100
202,404,1000011001011000
203,407,1000011001011110
204,408,1000011001101000
205,411,1000011001101110
206,413,1000011001111010
207,414,1000011001111100
208,417,1000011010001010
209,418,1000011010001100
210,420,1000011010011000
211,423,1000011010011110
212,424,1000011010101000
213,427,1000011010101110
214,429,1000011010111010
215,430,1000011010111100
216,432,1000011011001000
217,435,1000011011001110
218,437,1000011011011010
219,438,1000011011011100
220,441,1000011011101010
221,442,1000011011101100
222,444,1000011011111000
223,447,1000011011111110
224,449,1000011100001010
225,450,1000011100001100
226,452,1000011100011000
227,455,1000011100011110
228,456,1000011100101000
229,459,1000011100101110
230,461,1000011100111010
231,462,1000011100111100
232,464,1000011101001000
233,467,1000011101001110
234,469,1000011101011010
235,470,1000011101011100
236,473,1000011101101010
237,474,1000011101101100
238,476,1000011101111000
239,479,1000011101111110
240,480,1000011110001000
241,483,1000011110001110
242,485,1000011110011010
243,486,1000011110011100
244,489,1000011110101010
245,490,1000011110101100
246,492,1000011110111000
247,495,1000011110111110
248,497,1000011111001010
249,498,1000011111001100
250,500,1000011111011000
251,503,1000011111011110
252,504,1000011111101000
253,507,1000011111101110
254,509,1000011111111010
255,510,1000011111111100
256,2049,1010000000001010
257,2050,1010000000001100
258,2052,1010000000011000
259,2055,1010000000011110
260,2056,1010000000101000
261,2059,1010000000101110
262,2061,1010000000111010
263,2062,1010000000111100
264,2064,1010000001001000
265,2067,1010000001001110
266,2069,1010000001011010
267,2070,1010000001011100
268,2073,1010000001101010
269,2074,1010000001101100
270,2076,1010000001111000
271,2079,1010000001111110
272,2080,1010000010001000
273,2083,1010000010001110
274,2085,1010000010011010
275,2086,1010000010011100
276,2089,1010000010101010
277,2090,1010000010101100
278,2092,1010000010111000
279,2095,1010000010111110
280,2097,1010000011001010
281,2098,1010000011001100
282,2100,1010000011011000
283,2103,1010000011011110
284,2104,1010000011101000
285,2107,1010000011101110
286,2109,1010000011111010
